Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
700	0.529970878009294	0.00434781674173648	0.6273892449296	1.48742732407362E-4	1.06749379634857	0.525623061267558	0.669575344914065	0.785009581460944	3.05898580690743E-4	99.9295890489655
698	0.505164224360858		0.602662720065023		1.0615348815918	0.500816407619122	0.639589603585181	0.783027749062564	2.74170348940197E-4	99.936889866986
696	0.507453711351221		0.60890213929058		1.05742168426514	0.503105894609485	0.643709041890666	0.781573446804151	2.26485615101656E-4	99.9478633557631
694	0.537996790147634		0.647373076331682		1.05542433261871	0.533648973405898	0.683096310343606	0.781220693663922	2.53348911784432E-4	99.9416812692261
692	0.586605957739046		0.706268175278478		1.05528295040131	0.58225814099731	0.745155798112913	0.781391143264083	2.80709950660293E-4	99.9353850296842
690	0.635380419519251		0.764473677670412		1.05617117881775	0.631032602777514	0.807257967533271	0.781698822627608	2.82040315925972E-4	99.9350789001639
688	0.670003487923384		0.805719551223863		1.05701351165771	0.665655671181648	0.851499229172498	0.781745477125732	2.4522998272658E-4	99.9435496489513
686	0.694383409700967		0.835301368122261		1.05723166465759	0.69003559295923	0.882949800384074	0.781511692577621	2.9578200506002E-4	99.9319168635296
684	0.706706834639518		0.850562480732179		1.05664479732513	0.702359017897781	0.898585251831279	0.781627582320546	2.60880115549309E-4	99.93994817182
682	0.704774749075949		0.848731788295647		1.05542051792145	0.700426932334212	0.895611957447714	0.782065186278069	2.8603740787639E-4	99.9341591374732
680	0.697617117268612		0.84106481658556		1.05391752719879	0.693269300526875	0.886256189137031	0.78224480576201	3.05876124476742E-4	99.9295942160592
678	0.698011671710395		0.842822097462327		1.05215847492218	0.693663854968658	0.88662591177019	0.782363616673154	2.95851346068315E-4	99.931900908044
676	0.710264995025691		0.858763613817085		1.05015850067139	0.705917178283954	0.901681705672441	0.782889542776636	2.6448680541546E-4	99.9391182029473
674	0.724802334445141		0.87738656235107		1.04805636405945	0.720454517703405	0.919394679644973	0.783618323723181	2.91626052083826E-4	99.932873160125
672	0.736636296800199		0.892868738497702		1.04591345787048	0.732288480058462	0.933707857681003	0.784280087218293	3.3517800228208E-4	99.9228521870842
670	0.747590866153399		0.907215260962349		1.04377365112305	0.743243049411663	0.946772131544336	0.785028439947124	2.55289303857556E-4	99.9412347390007
668	0.757673586450025		0.920544542525299		1.0414891242981	0.753325769708288	0.958582215533944	0.785874969825802	2.54439431349477E-4	99.941430314571
666	0.764594372860359		0.930104303534463		1.03900337219238	0.760246556118622	0.966226963662395	0.786819851556386	2.86844251791202E-4	99.9339734772895
664	0.7700372106682		0.937782544470579		1.03636527061462	0.765689393926464	0.971731108675799	0.7879642702495	3.0517113450687E-4	99.9297564318408
662	0.77538397029039		0.945469209478927		1.03368079662323	0.771036153548654	0.977159613130786	0.789058556235537	3.05154356230029E-4	99.9297602924681
660	0.783894135966835		0.956916639853108		1.03114402294159	0.779546319225098	0.986565498458404	0.790161748452798	3.03162389902573E-4	99.9302186385499
658	0.795758247247553		0.972679757771078		1.02883267402649	0.791410430505817	1.00057168477593	0.790958251714913	3.28581393564273E-4	99.9243699520832
656	0.811528220634246		0.993016552428586		1.02680015563965	0.80718040389251	1.01947682152563	0.791759446462525	3.04101247199687E-4	99.930002609755
654	0.836253634658984		1.02455276873324		1.0250301361084	0.831905817917247	1.05004499820162	0.792257302631816	2.76666180167639E-4	99.9363155449438
652	0.864727629906535		1.0606603915748		1.02350044250488	0.860379813164799	1.08543414187177	0.792659618833366	3.4593320822727E-4	99.9203776505852
650	0.89147732157211		1.0942591722633		1.02214002609253	0.887129504830373	1.11833406298881	0.79325984443277	2.73267970144928E-4	99.9370975164675
648	0.906496686441295		1.11347923657859		1.02104043960571	0.902148869699558	1.13675545686315	0.793617364449709	3.50608113746405E-4	99.9193020766825
646	0.91003351748185		1.11861683787642		1.02013802528381	0.905685700740113	1.14099183392316	0.793770537012543	3.12702061100251E-4	99.9280236049995
644	0.911987214983809		1.12218358926598		1.01934659481049	0.907639398242072	1.1437424000727	0.793569774264188	3.19074776921346E-4	99.9265572998739
642	0.92021861021459		1.13358971226727		1.01856780052185	0.915870793472853	1.15448647536048	0.793314441545863	3.48028935905579E-4	99.9198954768424
