Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
700	0.405003121268932	0.00223586693728631	0.491683438493187	5.386829354696E-9	1.02473187446594	0.402767254331646	0.503843686050928	0.799389305616771	-4.93740026926503E-4	100.113752491706
698	0.410393917732705		0.498979354390454		1.02452707290649	0.408158050795419	0.511217851875472	0.798403360324833	-3.98024557916629E-4	100.091690551479
696	0.435532243367496		0.529755100891767		1.0254340171814	0.43329637643021	0.543228895705942	0.79763131132251	-4.09418324118764E-4	100.094316503058
694	0.47720778265785		0.579967577216068		1.02713179588318	0.474971915720564	0.595703133606972	0.797329892902556	-3.87505458394701E-4	100.089266247816
692	0.522225884801059		0.633833679953053		1.0291953086853	0.519990017863772	0.652338644350324	0.797116685278763	-3.47388051408893E-4	100.080021054642
690	0.558794501786098		0.677540239649203		1.03111636638641	0.556558634848811	0.698622824433218	0.796651090379617	-3.22056342723611E-4	100.074183715904
688	0.584298897623941		0.708311653945568		1.03234148025513	0.582063030686654	0.731219495755077	0.796016837715193	-3.93611060769107E-4	100.090673379573
686	0.601785096566239		0.729500883972829		1.03273642063141	0.599549229628952	0.753382126198373	0.795810265176221	-3.55092998628775E-4	100.081796619731
684	0.609905727355605		0.73916055565899		1.03241991996765	0.607669860418319	0.763124076155229	0.796292345380951	-4.08898266610877E-4	100.094196642522
682	0.606578738561808		0.735356069120707		1.03160095214844	0.604342871624521	0.758594015515995	0.796661797039683	-3.56287984984406E-4	100.082072000954
680	0.603973893789314		0.732865207032553		1.03062152862549	0.601738026852027	0.755306654396542	0.796680425558796	-3.38553948876153E-4	100.077985320336
678	0.61293433123473		0.744304221597722		1.02938807010651	0.610698464297443	0.766177880697467	0.79707138470444	-3.43037325779013E-4	100.079018466422
676	0.628832950368167		0.763965920550107		1.027991771698	0.626597083430881	0.78535067464558	0.797856427275187	-3.99605677057567E-4	100.092054952093
674	0.642627842139968		0.781139237319677		1.02646279335022	0.640391975202682	0.801810358005236	0.798682592222761	-3.8632776449724E-4	100.088994832076
672	0.65584558312907		0.797697828186505		1.02487134933472	0.653609716191784	0.817537644014069	0.799485774113828	-3.99050712607341E-4	100.091927049255
670	0.668583033780547		0.813700799595667		1.02321696281433	0.666347166843261	0.832592455289976	0.800328134863034	-3.72155829165951E-4	100.085728772575
668	0.68000270301827		0.828047680172354		1.02134227752686	0.677766836080984	0.845720098066265	0.801407980761832	-4.12289581471518E-4	100.09497826024
666	0.688950460175275		0.83946704141729		1.01928961277008	0.686714593237988	0.855660030088735	0.802555418145187	-4.12983936505986E-4	100.095138293375
664	0.697092722762932		0.850008526031869		1.01711809635162	0.694856855825646	0.864559048401142	0.803712432494539	-4.18437190154088E-4	100.096395153934
662	0.706606441550037		0.862243776133219		1.01487874984741	0.704370574612751	0.875072880118815	0.804927898710692	-4.09909669432557E-4	100.094429746268
660	0.719151648362139		0.878257903829897		1.01273846626282	0.716915781424853	0.889445557052438	0.806025479289213	-4.19414279334594E-4	100.096620354158
658	0.73600015011648		0.899602237804105		1.01078748703003	0.733764283179194	0.909306679831662	0.806949183871644	-3.88299985890667E-4	100.08944935801
656	0.757305405627803		0.926398907525005		1.00910043716431	0.755069538690517	0.934829537136167	0.807708259843456	-3.84902470399552E-4	100.088666354452
654	0.786552998847774		0.962968933952647		1.00764882564545	0.784317131910488	0.9703345100024	0.808295617465515	-3.69484427146859E-4	100.085113134093
652	0.817288981297075		1.00106838589251		1.00644826889038	0.815053114359789	1.00752353860084	0.808966821253294	-3.98235812737286E-4	100.091739239312
650	0.840063452547719		1.02924176177527		1.00542259216309	0.837827585610433	1.03482291467056	0.809633777656693	-4.20551027129756E-4	100.096882353253
648	0.847589601387087		1.03906875664661		1.00459063053131	0.845353734449801	1.04383873199345	0.809850897978661	-3.74508710427348E-4	100.086271009429
646	0.850362010198876		1.04347837717812		1.00393974781036	0.84812614326159	1.04758941342172	0.80959785617857	-3.24778861550513E-4	100.074811066042
644	0.858798858966997		1.05478369564256		1.00340497493744	0.85656299202971	1.05837520228547	0.809318840974385	-3.1049292906849E-4	100.071519201789
642	0.874201186692411		1.07448931924922		1.00290107727051	0.871965319755125	1.07760649038824	0.809168585687501	-3.70733809080117E-4	100.085401060182
