Wavelength, nm	Sc/Rc	Wavelength	Signal	Baseline_Result	Baseline_Y
Raw CCD	counts/uA	nm	Sc/Rc		
	Fully Corrected Emission Spectrum		Water Raman		Baseline of "Signal"
246.74	0.654972746642008	365	129.292455188942	365	129.292455188942
247.3	9.66084801296962	365.5	131.292245810868	365.5	128.601416051515
247.86	-1.14620230662351	366	143.206497469908	366	127.910376914089
248.42	-0.163743186660502	366.5	142.347027490573	366.5	127.219337776663
248.98	-1.96491823992603	367	139.26927059019	367	126.528298639237
249.54	-2.61989098656803	367.5	133.925208258236	367.5	125.83725950181
250.1	-6.38557765006265	368	130.474373179487	368	125.146220364384
250.66	3.4302783919734	368.5	138.521945064996	368.5	124.455181226958
251.221	-0.932290260774244	369	135.570288201307	369	123.764142089532
251.781	12.5503851281936	369.5	136.522224853309	369.5	123.073102952106
252.341	-6.99404627290502	370	133.227039491592	370	122.382063814679
252.902	7.74708796839955	370.5	139.636406378392	370.5	121.691024677253
253.462	7.85582875085853	371	145.226744143244	371	120.999985539827
254.023	7.41284772073606	371.5	131.810596906795	371.5	120.308946402401
254.584	-3.99159118512702	372	124.84996881246	372	119.617907264974
255.144	-5.13875275021292	372.5	137.600001880431	372.5	118.926868127548
255.705	4.44735231015664	373	131.723659764491	373	118.235828990122
256.266	-0.863814228885565	373.5	140.433222906492	373.5	117.544789852696
256.827	5.04833020026237	374	135.856023392671	374	116.853750715269
257.388	4.20739190810246	374.5	128.442646780287	374.5	116.162711577843
257.949	9.3557477163561	375	128.273282620987	375	115.471672440417
258.51	-0.883777434953922	375.5	126.904180656307	375.5	114.780633302991
259.071	-7.56300811891881	376	114.204920086712	376	114.089594165565
259.632	7.42465530499668	376.5	104.896434110338	376.5	113.398555028138
260.194	6.86751846675043	377	118.831696313401	377	112.707515890712
260.755	7.41038555245281	377.5	108.484932742774	377.5	112.016476753286
261.316	-12.3685236682009	378	100.736363290295	378	111.32543761586
261.878	17.071634739634	378.5	95.4381194456039	378.5	110.634398478433
262.439	0	379	100.430701951869	379	109.943359341007
263.001	-8.63942614969339	379.5	101.729468390426	379.5	109.252320203581
263.562	8.29885328822605	380	91.8845160704423	380	108.561281066155
264.124	7.66834129858764	380.5	95.6752994782666	380.5	107.870241928728
264.686	0.315746419191191	381	97.48601456448	381	107.179202791302
265.247	1.11312139989645	381.5	85.3232698108654	381.5	106.488163653876
265.809	12.3100497822883	382	93.4933054257368	382	105.79712451645
266.371	6.76586521038539	382.5	91.8762667252454	382.5	105.106085379024
266.933	2.76254493986841	383	90.0429344539295	383	104.415046241597
267.495	9.16200706807158	383.5	90.5125916397057	383.5	103.724007104171
268.057	13.496080353834	384	88.8682575794544	384	103.032967966745
268.619	0.49446012394997	384.5	104.944498717546	384.5	102.341928829319
269.181	3.97602740847711	385	109.639017940315	385	101.650889691892
269.744	-9.56528336098789	385.5	120.551607516675	385.5	100.959850554466
270.306	-3.88480720092376	386	145.130427974852	386	100.26881141704
270.868	4.22802065664466	386.5	190.839008150033	386.5	99.5777722796138
271.431	-7.14431932118249	387	221.304468583522	387	98.8867331421875
271.993	15.5898588036713	387.5	256.374184421554	387.5	98.1956940047613
272.556	10.8467116823468	388	320.967282815748	388	97.5046548673351
273.118	0.519016784933829	388.5	372.338753171443	388.5	96.8136157299088
273.681	15.1206229387996	389	447.105642801163	389	96.1225765924826
274.244	15.5066405073424	389.5	518.958492243485	389.5	95.4315374550564
274.806	18.4640387439396	390	619.138044489631	390	94.7404983176302
275.369	12.9034617571072	390.5	723.978747164333	390.5	94.0494591802039
275.932	10.8296306116268	391	839.746336318558	391	93.3584200427777
276.495	10.8312376266337	391.5	964.634292263702	391.5	92.6673809053515
277.058	12.0616179232794	392	1074.87834455484	392	91.9763417679252
277.621	2.63945304108722	392.5	1199.96209054315	392.5	91.285302630499
278.184	17.1307587739094	393	1336.96385335862	393	90.5942634930728
278.747	10.042640321499	393.5	1458.96119185105	393.5	89.9032243556466
279.311	11.9278817873781	394	1557.15097835958	394	89.2121852182203
279.874	9.41463013737231	394.5	1669.83373851103	394.5	88.5211460807941
280.437	17.2439187583345	395	1779.93345380494	395	87.8301069433679
281.001	24.5727932018398	395.5	1839.56457300132	395.5	87.1390678059416
281.564	-5.20032139643301	396	1880.4245772355	396	86.4480286685154
282.128	3.97280607418831	396.5	1945.06853960691	396.5	85.7569895310892
282.691	22.8629844166052	397	1954.81987356267	397	85.065950393663
283.255	13.505932237842	397.5	1960.83246854895	397.5	84.3749112562367
283.818	21.0407710406305	398	1927.67968806779	398	83.6838721188105
284.382	9.43034205143581	398.5	1863.71317615264	398.5	82.9928329813843
284.946	17.8821065020187	399	1800.99872411778	399	82.3017938439581
285.51	0	399.5	1728.92031202752	399.5	81.6107547065318
286.074	23.082816418114	400	1635.71757867015	400	80.9197155691056
286.638	19.5368919867154	400.5	1535.20090940246	400.5	80.2286764316794
287.202	16.2494206097808	401	1433.68470838828	401	79.5376372942531
287.766	13.2199460407383	401.5	1322.68741808763	401.5	78.8465981568269
288.33	18.5834190447364	402	1182.82932805803	402	78.1555590194007
288.894	15.2585782105424	402.5	1053.61991824104	402.5	77.4645198819744
289.458	10.4788263497597	403	939.641634465355	403	76.7734807445482
290.023	13.9970230260639	403.5	814.443056074101	403.5	76.082441607122
290.587	15.6222191994969	404	704.716735106152	404	75.3914024696958
291.151	-2.29682894897475	404.5	608.85940639757	404.5	74.7003633322695
291.716	14.0384975652711	405	517.887672356825	405	74.0093241948433
292.28	15.9211370851592	405.5	436.234409011825	405.5	73.3182850574171
292.845	24.4202884960304	406	369.666089608897	406	72.6272459199909
293.41	17.7781756731107	406.5	302.832708056808	406.5	71.9362067825646
293.974	20.7046137143325	407	237.904826341795	407	71.2451676451384
294.539	14.8067314511008	407.5	193.92859564979	407.5	70.5541285077122
295.104	6.24030012786238	408	160.409727602504	408	69.8630893702859
295.669	25.7142761745755	408.5	133.925449831776	408.5	69.1720502328597
296.234	14.9762254616819	409	118.119633249662	409	68.4810110954335
296.799	13.9579065646718	409.5	94.4346515593146	409.5	67.7899719580072
297.364	28.2693683868301	410	73.0358763792002	410	67.098932820581
297.929	9.94427251788956	410.5	62.7715164730169	410.5	66.4078936831548
298.494	8.81812405272074	411	56.4366853188742	411	65.7168545457286
299.059	20.8762626852148	411.5	52.6098098076993	411.5	65.0258154083023
299.625	27.7628732894796	412	49.9693680969114	412	64.3347762708761
300.19	32.6240988328128	412.5	47.8519961975287	412.5	63.6437371334499
300.755	23.7145703701302	413	33.4796389621484	413	62.9526979960237
301.321	13.1815858898916	413.5	34.2830333255403	413.5	62.2616588585974
301.886	29.5871323222758	414	33.469845754098	414	61.5706197211712
302.452	30.8972826421316	414.5	28.1043755159211	414.5	60.879580583745
303.017	9.17779606215714	415	32.1790846790688	415	60.1885414463187
303.583	9.68833527545087	415.5	21.3758710472932	415.5	59.4975023088925
304.149	17.0907091282577	416	17.7939477387026	416	58.8064631714663
304.714	23.5254081595171	416.5	18.3211725051451	416.5	58.1154240340401
305.28	33.1715166464275	417	19.6027876227517	417	57.4243848966138
305.846	30.9816709952374	417.5	26.5336734644142	417.5	56.7333457591876
306.412	46.0118212634274	418	19.2909314800175	418	56.0423066217614
306.978	33.4123291127641	418.5	5.60141253986643	418.5	55.3512674843351
307.544	46.085648273595	419	14.9639271895748	419	54.6602283469089
308.11	43.4616947797701	419.5	16.6571883745703	419.5	53.9691892094827
308.676	58.682408980575	420	5.40988930102534	420	53.2781500720565
309.243	69.7137204944353	420.5	16.6611085708226	420.5	52.5871109346302
309.809	74.8313829432379	421	20.373299703917	421	51.896071797204
310.375	92.4666989574942	421.5	14.562783158394	421.5	51.2050326597778
310.942	99.2053534996351	422	6.68549378698115	422	50.5139935223515
311.508	112.045093830699	422.5	2.81172245477974	422.5	49.8229543849253
312.074	125.098812577766	423	16.9542847389927	423	49.1319152474991
312.641	122.140466899001	423.5	14.5191274357706	423.5	48.4408761100729
313.208	132.10374660999	424	6.96060616013805	424	47.7498369726466
313.774	159.940739725699	424.5	6.29853636751002	424.5	47.0587978352204
314.341	165.858476998531	425	11.307334638249	425	46.3677586977942
314.908	185.858496894822	425.5	13.3847794818937	425.5	45.6767195603679
315.475	206.143760345402	426	9.95725956306139	426	44.9856804229417
316.041	209.573708511821	426.5	5.47567180069804	426.5	44.2946412855155
316.608	221.450260239676	427	5.06364469616868	427	43.6036021480893
317.175	241.298030808619	427.5	15.7889130105556	427.5	42.912563010663
317.742	260.484397920896	428	16.5866650813913	428	42.2215238732368
318.309	263.117411031611	428.5	11.3266019151002	428.5	41.5304847358106
318.877	276.937593183611	429	7.3580310164623	429	40.8394455983843
319.444	298.139863594084	429.5	5.560113417098	429.5	40.1484064609581
320.011	310.678983813351	430	8.0114553834292	430	39.4573673235319
320.578	326.832860155777	430.5	11.3455778887772	430.5	38.7663281861057
321.146	343.292383008157	431	5.21652776693999	431	38.0752890486794
321.713	331.234954054658	431.5	2.00472630647163	431.5	37.3842499112532
322.281	349.160565927399	432	8.03991976463215	432	36.693210773827
322.848	355.534906770953	432.5	4.40885186926091	432.5	36.0021716364007
323.416	343.052304942957	433	-2.03251856827197	433	35.3111324989745
323.983	365.569221430848	433.5	0.736075999829458	433.5	34.6200933615483
324.551	351.85885010542	434	8.87620903239628	434	33.9290542241221
325.119	356.280082661566	434.5	19.8199995264751	434.5	33.2380150866958
325.687	356.938851712448	435	5.56740093387636	435	32.5469759492696
326.255	345.155233337078	435.5	6.57334671916102	435.5	31.8559368118434
326.822	356.33148348097	436	8.42743143157578	436	31.1648976744171
327.39	337.644905358996	436.5	11.5384318498072	436.5	30.4738585369909
327.958	354.537948161836	437	10.0843403564214	437	29.7828193995647
328.527	347.552795647596	437.5	2.36500790903389	437.5	29.0917802621385
329.095	350.759955301445	438	10.9488100184537	438	28.4007411247122
329.663	346.73909257804	438.5	7.13334083347816	438.5	27.709701987286
330.231	350.452712654994	439	5.84158914549224	439	27.0186628498598
330.799	354.815806498336	439.5	2.55286127142091	439.5	26.3276237124336
331.368	326.606261739196	440	4.82685916089205	440	25.6365845750073
331.936	319.783614720512	440.5	10.0948530852086	440.5	24.9455454375811
332.505	312.048336687327	441	12.7971645290657	441	24.2545063001549
333.073	312.949025050824	441.5	16.6327914942966	441.5	23.5634671627286
333.642	293.912501709581	442	13.1177126632134	442	22.8724280253024
334.21	307.116031223835	442.5	6.40436550824591	442.5	22.1813888878762
334.779	289.967033157209	443	9.26233732370104	443	21.49034975045
335.348	263.519088669226	443.5	5.70946819624096	443.5	20.7993106130237
335.916	252.75605518752	444	6.50156769119162	444	20.1082714755975
336.485	254.152837080776	444.5	14.465955174262	444.5	19.4172323381713
337.054	238.358713627866	445	11.0446445827307	445	18.726193200745
337.623	253.424711341898	445.5	5.77326973544885	445.5	18.0351540633188
338.192	240.816561294406	446	12.032165547327	446	17.3441149258926
338.761	252.148741504006	446.5	14.1583205580847	446.5	16.6530757884663
339.33	255.989346569862	447	10.6989584732115	447	15.9620366510401
339.899	282.651797052686	447.5	10.5709222581109	447.5	15.2709975136139
340.469	341.269081193112	448	16.9411355158091	448	14.5799583761877
341.038	432.430999078383	448.5	18.2503789867963	448.5	13.8889192387614
341.607	611.443786439654	449	11.0494861011182	449	13.1978801013352
342.177	881.590075977239	449.5	14.9416416871873	449.5	12.506840963909
342.746	1328.69699721451	450	11.8158018264828	450	11.8158018264828
343.315	1943.41539997107				
343.885	2792.78308015439				
344.455	3841.35555909187				
345.024	5089.48452703618				
345.594	6603.68608867601				
346.164	8197.98842044305				
346.733	9844.11570850524				
347.303	9896.15430995774				
347.873	9874.15560138703				
348.443	9823.2559179732				
349.013	9996.05533882694				
349.583	9867.05719984068				
350.153	9942.72241088016				
350.723	9947.39333006881				
351.294	9990.43742484497				
351.864	10065.8981740569				
352.434	9997.91432581231				
353.004	10006.2134586005				
353.575	8393.73370232376				
354.145	6701.44775823275				
354.716	5189.92116780309				
355.286	3869.29690457544				
355.857	2786.4467436007				
356.428	1900.16638300542				
356.999	1278.11901492275				
357.569	813.398743184389				
358.14	536.350046437152				
358.711	368.287968684301				
359.282	258.51718865398				
359.853	208.657858129876				
360.424	195.587382692174				
360.995	187.80683315925				
361.566	159.533626032783				
362.137	152.562575876699				
362.709	165.432822759832				
363.28	144.690098771269				
363.851	147.42896233392				
364.423	142.891515353391				
364.994	129.371254628728				
365.566	132.652543474177				
366.137	144.892422270168				
366.709	139.924512503618				
367.281	137.897008993689				
367.852	129.156662039021				
368.424	138.094447615093				
368.996	135.584229643609				
369.568	136.386480298276				
370.14	133.42257469362				
370.712	143.755412113909				
371.284	140.068594450867				
371.856	122.751800513969				
372.428	137.230228945021				
373	131.723659764491				
373.572	141.168220379498				
374.145	132.821728616498				
374.717	127.756248821021				
375.289	128.407239807655				
375.862	119.143311375253				
376.434	104.101426916576				
377.007	118.889459699203				
377.579	106.303882897422				
378.152	99.4205021798113				
378.725	95.4146571551146				
379.297	104.360896408254				
379.87	93.1549629064184				
380.443	94.9048068804324				
381.016	97.2297054725747				
381.589	84.8026051266784				
382.162	96.1035022724731				
382.735	88.2796542009519				
383.308	92.6949679377394				
383.881	86.7842531217101				
384.454	103.8824556762				
385.027	109.904507955423				
385.601	124.260322661312				
386.174	158.798554117148				
386.748	211.017184880218				
387.321	237.269544642817				
387.894	309.13070500541				
388.468	368.349996461462				
389.042	453.351705521675				
389.615	538.475581884292				
390.189	660.676503064096				
390.763	780.547660965831				
391.336	926.347540129685				
391.91	1054.39469318645				
392.484	1195.67155012755				
393.058	1352.34958996699				
393.632	1486.66140464175				
394.206	1599.45966153091				
394.78	1736.50958127871				
395.354	1827.84833903601				
395.928	1871.83024026564				
396.503	1945.30813393877				
397.077	1954.97919323827				
397.651	1957.64437607237				
398.226	1899.04931461724				
398.8	1825.93670902646				
399.375	1749.17449870196				
399.949	1645.7679008316				
400.524	1530.35541187399				
