Wavelength, nm	Sc/Rc	Wavelength	Signal	Baseline_Result	Baseline_Y
Raw CCD	counts/uA	nm	Sc/Rc		
	Fully Corrected Emission Spectrum		Water Raman		Baseline of "Signal"
246.74	9.56050507114958	365	137.956678090046	365	143.642887229929
247.3	5.43959771289545	365.5	150.55982673902	365.5	142.811236320255
247.86	1.81319923763182	366	122.924614810182	366	141.97958541058
248.42	4.2857436525843	366.5	128.986091569623	366.5	141.147934500905
248.98	8.73632359949876	367	147.322149420053	367	140.316283591231
249.54	9.06599618815909	367.5	139.173548433029	367.5	139.484632681556
250.1	0.173735300935772	368	133.839960590629	368	138.652981771881
250.66	6.90635610782488	368.5	142.341096434773	368.5	137.821330862207
251.221	-9.54155892180719	369	141.026655479987	369	136.989679952532
251.781	-10.5284735767211	369.5	146.156616679133	369.5	136.158029042857
252.341	-2.05354821539531	370	135.326378133182	370	135.326378133182
252.902	-5.34362602356965	370.5	136.365889774289	370.5	134.494727223508
253.462	4.02602951216913	371	141.512540234769	371	133.663076313833
254.023	4.73571196012358	371.5	138.805591306554	371.5	132.831425404158
254.584	7.46244205168424	372	135.574356135457	372	131.999774494484
255.144	0.574784194485318	372.5	142.391034183413	372.5	131.168123584809
255.705	-1.58862769916996	373	158.39611807787	373	130.336472675134
256.266	0.579720554620232	373.5	137.04511899979	373.5	129.50482176546
256.827	-4.3560270536411	374	123.86535947331	374	128.673170855785
257.388	-4.81968343387516	374.5	126.79934705808	374.5	127.84151994611
257.949	14.5687847723152	375	120.294862794803	375	127.009869036436
258.51	-0.296559102420277	375.5	119.204105826564	375.5	126.178218126761
259.071	0.597137006148871	376	124.048633427206	376	125.346567217086
259.632	16.1443160779238	376.5	113.388599729976	376.5	124.514916307412
260.194	1.95377685751239	377	116.587654780735	377	123.683265397737
260.755	3.34932282936697	377.5	109.946524490538	377.5	122.851614488062
261.316	5.38010181481989	378	100.237734188535	378	122.019963578387
261.878	3.09650461450609	378.5	103.884249207872	378.5	121.188312668713
262.439	7.50772626081739	379	107.973637192611	379	120.356661759038
263.001	-0.948774627367428	379.5	104.263610248929	379.5	119.525010849363
263.562	13.3983323871871	380	102.019146211268	380	118.693359939689
264.124	-5.82903526248761	380.5	97.1272492122725	380.5	117.861709030014
264.686	8.26421080151904	381	84.4852542266386	381	117.030058120339
265.247	5.12252486356384	381.5	92.5060797305343	381.5	116.198407210665
265.809	8.85159180629164	382	86.1346452274429	382	115.36675630099
266.371	2.27034413250558	382.5	90.8683682806551	382.5	114.535105391315
266.933	-3.10816192320484	383	89.5993083437852	383	113.703454481641
267.495	5.43508248991249	383.5	84.1227544106952	383.5	112.871803571966
268.057	-0.165685082162929	384	95.6112856021993	384	112.040152662291
268.619	-6.47089317391977	384.5	100.521641868114	384.5	111.208501752616
269.181	15.1764125823328	385	106.577531560775	385	110.376850842942
269.744	4.39223872729605	385.5	124.21589762324	385.5	109.545199933267
270.306	-5.61106343366144	386	147.096390546614	386	108.713549023592
270.868	5.61824451154565	386.5	175.642929043809	386.5	107.881898113918
271.431	0.856192020386165	387	210.201362936893	387	107.050247204243
271.993	0.344921598177246	387.5	254.947857971333	387.5	106.218596294568
272.556	6.41281742275676	388	303.637821468535	388	105.386945384894
273.118	25.6015988094239	388.5	353.597842010506	388.5	104.555294475219
273.681	12.9470777259417	389	439.087259381846	389	103.723643565544
274.244	7.36659182943311	389.5	524.379010538883	389.5	102.89199265587
274.806	6.83872356581738	390	606.584915372962	390	102.060341746195
275.369	3.68623839698412	390.5	706.506623866929	390.5	101.22869083652
275.932	3.86842551738459	391	824.308347445993	391	100.397039926846
276.495	4.39659040367428	391.5	942.914712460506	391.5	99.5653890171708
277.058	6.15905560980924	392	1059.78911577463	392	98.7337381074961
277.621	12.576813880706	392.5	1188.14888223602	392.5	97.9020871978214
278.184	20.9785987868442	393	1326.82899718259	393	97.0704362881468
278.747	18.6230991982258	393.5	1464.87792300043	393.5	96.2387853784721
279.311	5.12084954504088	394	1579.70256254099	394	95.4071344687974
279.874	1.5795799670443	394.5	1682.34297147945	394.5	94.5754835591227
280.437	22.2686607441209	395	1778.25933495326	395	93.743832649448
281.001	0.701754181267841	395.5	1853.92860864923	395.5	92.9121817397733
281.564	12.215087297318	396	1905.34683994204	396	92.0805308300986
282.128	14.2584720003424	396.5	1945.37939357869	396.5	91.2488799204239
282.691	2.96413183019017	397	1981.31084558593	397	90.4172290107492
283.255	-6.4494293901416	397.5	1966.06651656027	397.5	89.5855781010746
283.818	11.805933621947	398	1934.29405874128	398	88.7539271913999
284.382	21.4030687095727	398.5	1887.00490313319	398.5	87.9222762817252
284.946	9.60079086680722	399	1829.71243918933	399	87.0906253720505
285.51	23.7938398782811	399.5	1759.1462217893	399.5	86.2589744623758
286.074	8.54298213298535	400	1657.7532440769	400	85.4273235527011
286.638	21.5323193206209	400.5	1567.16508144391	400.5	84.5956726430264
287.202	13.4910495581369	401	1439.30298778683	401	83.7640217333517
287.766	8.08599434257596	401.5	1320.35384947136	401.5	82.932370823677
288.33	9.94361400789632	402	1203.66768675195	402	82.1007199140024
288.894	20.7619141896771	402.5	1091.65773254238	402.5	81.2690690043277
289.458	14.2324813795563	403	964.894090577538	403	80.437418094653
290.023	19.3951086853877	403.5	829.800468086907	403.5	79.6057671849783
290.587	11.9190385080933	404	732.76672799818	404	78.7741162753036
291.151	7.59710368827835	404.5	607.25961047071	404.5	77.9424653656289
291.716	9.53102871249087	405	519.918203125585	405	77.1108144559542
292.28	25.1859496863885	405.5	446.301169227924	405.5	76.2791635462795
292.845	25.2345256670394	406	370.748673900704	406	75.4475126366048
293.41	16.1071724076312	406.5	293.649446098242	406.5	74.6158617269301
293.974	24.2623596190708	407	236.210866394601	407	73.7842108172555
294.539	22.0343318181804	407.5	206.951447072187	407.5	72.9525599075808
295.104	15.3022072768465	408	169.131508541202	408	72.1209089979061
295.669	19.3345587125726	408.5	143.29697282585	408.5	71.2892580882314
296.234	23.1697434283355	409	111.723642614197	409	70.4576071785567
296.799	31.2597193756012	409.5	89.5024317526103	409.5	69.625956268882
297.364	29.7228913533348	410	81.4867779300667	410	68.7943053592073
297.929	17.4789265618446	410.5	73.65597152405	410.5	67.9626544495326
298.494	21.2413727462073	411	63.1565103756631	411	67.1310035398579
299.059	15.8012235187847	411.5	57.535940364745	411.5	66.2993526301833
299.625	15.9478492927349	412	51.7451891797414	412	65.4677017205086
300.19	27.7892906750038	412.5	41.1674347586902	412.5	64.6360508108339
300.755	21.3433057981868	413	38.6102953105894	413	63.8043999011592
301.321	5.84493527599502	413.5	42.4231910191968	413.5	62.9727489914845
301.886	27.7359689332081	414	39.6915944064919	414	62.1410980818098
302.452	25.4483550043091	414.5	29.8920087403513	414.5	61.3094471721351
303.017	12.5275453332709	415	24.1983284474429	415	60.4777962624604
303.583	14.3149048944675	415.5	25.8401566571176	415.5	59.6461453527858
304.149	32.3576557674282	416	26.5874134184202	416	58.8144944431111
304.714	27.1558849124492	416.5	18.0855537410099	416.5	57.9828435334364
305.28	25.3597488469337	417	16.4097323175555	417	57.1511926237617
305.846	29.307783343797	417.5	24.2367051087556	417.5	56.319541714087
306.412	38.494831649581	418	20.3138339987758	418	55.4878908044123
306.978	54.1294973212221	418.5	13.0884594986318	418.5	54.6562398947376
307.544	50.6108774010624	419	19.2647149402374	419	53.8245889850629
308.11	50.7833786890711	419.5	12.0379618678708	419.5	52.9929380753882
308.676	52.6153831663688	420	14.2161539668482	420	52.1612871657135
309.243	52.9504557316355	420.5	9.18760593667726	420.5	51.3296362560389
309.809	74.3853615033676	421	7.62663340641242	421	50.4979853463642
310.375	97.8170668917801	421.5	8.68657047048545	421.5	49.6663344366895
310.942	105.248762842055	422	12.1033663694753	422	48.8346835270148
311.508	97.9435693435731	422.5	12.3439064610812	422.5	48.0030326173401
312.074	107.493050403069	423	-0.355442602924029	423	47.1713817076654
312.641	144.996585983464	423.5	7.61014932717089	423.5	46.3397307979907
313.208	137.864400494516	424	15.1165652910703	424	45.508079888316
313.774	157.700070151243	424.5	12.8275782081552	424.5	44.6764289786413
314.341	151.199350205747	425	14.311637901248	425	43.8447780689666
314.908	176.214040378389	425.5	11.4880582320184	425.5	43.013127159292
315.475	186.041453406728	426	0.873468374537778	426	42.1814762496173
316.041	193.734364367251	426.5	-0.822126084832047	426.5	41.3498253399426
316.608	215.465895854403	427	4.9489718297673	427	40.5181744302679
317.175	243.70529733904	427.5	13.7347908282582	427.5	39.6865235205932
317.742	254.248163236291	428	12.5164996062488	428	38.8548726109185
318.309	262.484794320617	428.5	8.45241351100168	428.5	38.0232217012438
318.877	267.52065977495	429	6.63858882285912	429	37.1915707915691
319.444	298.702488625393	429.5	9.33349854418566	429.5	36.3599198818944
320.011	318.627038381775	430	12.1757878575529	430	35.5282689722198
320.578	318.32931011401	430.5	8.32487905409687	430.5	34.6966180625451
321.146	332.458641653777	431	8.81530690156769	431	33.8649671528704
321.713	348.508155629605	431.5	4.99293557295768	431.5	33.0333162431957
322.281	339.940862856853	432	8.88081276199829	432	32.201665333521
322.848	350.679517529527	432.5	9.53778866296884	432.5	31.3700144238463
323.416	335.834639954653	433	9.90304797931711	433	30.5383635141716
323.983	357.65686867696	433.5	9.00923879708667	433.5	29.7067126044969
324.551	351.453180627189	434	4.37317924531247	434	28.8750616948223
325.119	359.794539899683	434.5	15.8194496552763	434.5	28.0434107851475
325.687	357.046467816951	435	6.52430107183886	435	27.2117598754729
326.255	339.322178953729	435.5	-0.10654337726146	435.5	26.3801089657982
326.822	345.835154338972	436	0.93511209666746	436	25.5484580561235
327.39	349.540300525311	436.5	2.73773344173658	436.5	24.7168071464488
327.958	341.985904709749	437	6.78385035724369	437	23.8851562367741
328.527	332.954229464682	437.5	8.73732278540378	437.5	23.0535053270994
329.095	347.836278524449	438	2.81305762009906	438	22.2218544174247
329.663	336.040501023243	438.5	3.94254649458979	438.5	21.39020350775
330.231	343.890011176791	439	0.430024282263495	439	20.5585525980754
330.799	327.00683119784	439.5	3.31523447654138	439.5	19.7269016884007
331.368	323.174782171954	440	10.5116713340619	440	18.895250778726
331.936	313.325103875196	440.5	10.3082650172252	440.5	18.0635998690513
332.505	301.242351003886	441	7.93712203099297	441	17.2319489593766
333.073	297.361692177556	441.5	8.56447639375702	441.5	16.4002980497019
333.642	280.519487945659	442	1.03830886703178	442	15.5686471400272
334.21	287.212648849447	442.5	4.64024043408961	442.5	14.7369962303525
334.779	273.41120021139	443	5.48943827204707	443	13.9053453206779
335.348	248.605526940331	443.5	-0.584121430300065	443.5	13.0736944110031
335.916	242.727773488865	444	1.80881124843821	444	12.2420435013285
336.485	252.880256668185	444.5	9.00334118474709	444.5	11.4103925916538
337.054	251.493918638213	445	3.63044775059522	445	10.5787416819791
337.623	235.32725255455	445.5	-2.18755784979731	445.5	9.74709077230439
338.192	238.136416308193	446	10.2519176762585	446	8.91543986262971
338.761	234.534850797651	446.5	6.57699834640854	446.5	8.083788952955
339.33	260.83087450983	447	7.25213804328033	447	7.25213804328033
339.899	295.083281076416	447.5	8.69911776838389	447.5	6.42048713360564
340.469	321.643283478792	448	11.1335656839996	448	5.58883622393095
341.038	394.486173910005	448.5	12.7397135408068	448.5	4.75718531425627
341.607	542.229159847819	449	1.58303717843406	449	3.92553440458158
342.177	803.157777437509	449.5	5.34746363607169	449.5	3.09388349490689
342.746	1184.14313333461	450	4.42268731809273	450	2.2622325852322
343.315	1766.52027117503				
343.885	2569.46530265878				
344.455	3589.42189498062				
345.024	4797.26811736628				
345.594	6231.50310742357				
346.164	7828.73572929003				
346.733	9494.38912765908				
347.303	9960.73313613668				
347.873	9964.88053682581				
348.443	9908.38709289525				
349.013	10059.1338957172				
349.583	9950.71141652231				
350.153	10027.8987551105				
350.723	10021.1271625031				
351.294	10062.9637647492				
351.864	10148.9344914195				
352.434	10072.3401543811				
353.004	10108.1560518927				
353.575	8486.13247475088				
354.145	6888.08979255427				
354.716	5279.06894350461				
355.286	3944.6025869455				
355.857	2829.04176511033				
356.428	1957.35585271961				
356.999	1284.29767769965				
357.569	822.19360466593				
358.14	531.509955610041				
358.711	363.490259950934				
359.282	278.8317678659				
359.853	225.441000501537				
360.424	199.935198826462				
360.995	175.556256184667				
361.566	168.873429812246				
362.137	168.111264491462				
362.709	157.238177977388				
363.28	152.583967104821				
363.851	138.462732610782				
364.423	136.602620285442				
364.994	137.806700811775				
365.566	149.347394186589				
366.137	117.796820996427				
366.709	140.355546317204				
367.281	144.845840375253				
367.852	132.696230340721				
368.424	141.860226915865				
368.996	141.005547215947				
369.568	145.794710423361				
370.14	132.985079152871				
370.712	140.078905247421				
371.284	140.177140434744				
371.856	136.457033283859				
372.428	139.798811100668				
373	158.39611807787				
373.572	133.517887978346				
374.145	123.969157794074				
374.717	126.303703783245				
375.289	116.141158931671				
375.862	125.486865589202				
376.434	113.909110260443				
377.007	116.597681385771				
377.579	108.143396838627				
378.152	99.6030339683666				
378.725	107.201892120329				
379.297	106.008330441525				
379.87	102.144135583508				
380.443	98.538745589778				
381.016	84.4382420006336				
381.589	93.1008283398784				
382.162	84.6125402946542				
382.735	94.2263368693665				
383.308	82.9630040799703				
383.881	93.2707501258526				
384.454	100.225091708851				
385.027	107.214798071924				
385.601	128.6461774374				
386.174	156.166056278925				
386.748	192.150960219176				
387.321	237.170351061858				
387.894	294.45532044943				
388.468	349.280103947372				
389.042	446.702829461032				
389.615	542.960649950988				
390.189	641.281094889254				
390.763	767.358285334543				
391.336	904.828287363599				
391.91	1038.07647702074				
392.484	1183.84990853659				
393.058	1343.22582983425				
393.632	1498.02721853661				
394.206	1622.01859251867				
394.78	1737.85094749143				
395.354	1834.54525772099				
395.928	1899.13142020004				
396.503	1945.63432631077				
397.077	1982.86488108696				
397.651	1955.83772414449				
398.226	1916.78002546488				
398.8	1851.22287877876				
399.375	1781.5721899449				
399.949	1667.25831374022				
