Wavelength, nm	Sc/Rc	Wavelength	Signal	Baseline_Result	Baseline_Y
Raw CCD	counts/uA	nm	Sc/Rc		
	Fully Corrected Emission Spectrum		Water Raman		Baseline of "Signal"
247.749	-3.08890581912174	365	147.164619631719	365	155.703886859276
248.309	-0.386113227390217	365.5	135.921256935655	365.5	154.806826465573
248.868	10.9398747760562	366	129.434801920178	366	153.90976607187
249.428	-0.772226454780435	366.5	138.025732101847	366.5	153.012705678167
249.988	7.4648557295442	367	143.601602985476	367	152.115645284465
250.549	6.23192312354383	367.5	132.943690442451	367.5	151.218584890762
251.109	3.69213134953032	368	129.105308677515	368	150.321524497059
251.669	3.66967722840924	368.5	142.702713619015	368.5	149.424464103356
252.229	4.13574363438693	369	145.732860406874	369	148.527403709654
252.79	-11.764209410583	369.5	133.793984278297	369.5	147.630343315951
253.35	2.24628985229655	370	141.507649569779	370	146.733282922248
253.911	2.24172342725337	370.5	142.165684013785	370.5	145.836222528546
254.471	7.84359180210011	371	144.939162134843	371	144.939162134843
255.032	11.2085115680972	371.5	145.239559097896	371.5	144.04210174114
255.592	-0.901199326881339	372	143.468741575847	372	143.145041347437
256.153	-3.28045305944301	372.5	144.074541624003	372.5	142.247980953735
256.714	0.339991449744473	373	140.686714748389	373	141.350920560032
257.275	10.4753507873795	373.5	134.420874596042	373.5	140.453860166329
257.835	3.67124572014988	374	135.48033194119	374	139.556799772626
258.396	-5.08635480904486	374.5	123.013108820085	374.5	138.659739378924
258.957	3.02833615861494	375	127.148800893602	375	137.762678985221
259.518	7.70126787965465	375.5	126.357458370455	375.5	136.865618591518
260.08	-0.819262017578144	376	119.522975867178	376	135.968558197816
260.641	-5.33524958964003	376.5	120.016054483864	376.5	135.071497804113
261.202	-1.31831816934814	377	117.594056461587	377	134.17443741041
261.763	1.56923939837248	377.5	109.027158813194	377.5	133.277377016707
262.325	3.89930072477134	378	114.246160483255	378	132.380316623005
262.886	-1.72473521643291	378.5	116.868350722154	378.5	131.483256229302
263.447	4.55677276158091	379	110.670054722097	379	130.586195835599
264.009	10.0685530028487	379.5	104.988875739789	379.5	129.689135441896
264.571	2.72512106282667	380	100.696092832365	380	128.792075048194
265.132	4.61954490597105	380.5	100.725867091043	380.5	127.895014654491
265.694	2.38494413639089	381	99.1958151378254	381	126.997954260788
266.256	5.81410929672542	381.5	87.5689269157715	381.5	126.100893867085
266.817	15.4275568869775	382	90.3586701715834	382	125.203833473383
267.379	15.0257347622813	382.5	105.150525201993	382.5	124.30677307968
267.941	12.1505133470524	383	97.2845019922836	383	123.409712685977
268.503	4.01490044399143	383.5	99.6819277877172	383.5	122.512652292275
269.065	1.16882945664178	384	101.109348872113	384	121.615591898572
269.627	1.84173221838856	384.5	103.979671481822	384.5	120.718531504869
270.19	-0.265452658183364	385	126.950638239082	385	119.821471111166
270.752	9.03694418746173	385.5	145.277790749908	385.5	118.924410717464
271.314	4.53915244311924	386	169.6747210299	386	118.027350323761
271.876	5.1094393915097	386.5	202.468898914737	386.5	117.130289930058
272.439	8.65212496314832	387	246.962699175919	387	116.233229536355
273.001	-8.15129906764974	387.5	295.922631707183	387.5	115.336169142653
273.564	12.5561236634849	388	354.434304133574	388	114.43910874895
274.126	4.79345196803784	388.5	427.465130225143	388.5	113.542048355247
274.689	4.79227046588009	389	511.255071088351	389	112.644987961545
275.252	8.90558745833039	389.5	606.892405969053	389.5	111.747927567842
275.814	19.2142584157507	390	714.217454381574	390	110.850867174139
276.377	-3.15827945914805	390.5	835.128770266439	390.5	109.953806780436
276.94	11.1218863035247	391	962.765108863583	391	109.056746386734
277.503	9.80645521662034	391.5	1096.28315576484	391.5	108.159685993031
278.066	10.6940380809102	392	1216.48620249129	392	107.262625599328
278.629	10.6686735756573	392.5	1352.69074038608	392.5	106.365565205625
279.192	4.69375600613323	393	1508.90006924217	393	105.468504811923
279.755	12.8981652419446	393.5	1614.55043818349	393.5	104.57144441822
280.319	19.8494694843671	394	1745.4970463118	394	103.674384024517
280.882	14.6555954292458	394.5	1850.5306616687	394.5	102.777323630815
281.445	11.8672790119076	395	1925.2015223893	395	101.880263237112
282.008	13.9760032944184	395.5	1990.24019039458	395.5	100.983202843409
282.572	23.4027277985752	396	2040.01746259	396	100.086142449706
283.135	13.8940154817779	396.5	2071.46284544336	396.5	99.1890820560036
283.699	24.5570632662385	397	2087.46907737264	397	98.2920216623009
284.263	20.2443118839778	397.5	2070.17355763894	397.5	97.3949612685982
284.826	22.7894948470466	398	2026.56236773319	398	96.4979008748955
285.39	20.4537467666543	398.5	1942.26056889629	398.5	95.6008404811927
285.954	32.5868819200035	399	1868.35411513671	399	94.70378008749
286.518	12.9947879369679	399.5	1771.53316660921	399.5	93.8067196937873
287.081	11.7215683942116	400	1647.54329594637	400	92.9096593000845
287.645	15.2612553784014	400.5	1536.50805713817	400.5	92.0125989063818
288.209	26.4414338711112	401	1414.51339548766	401	91.1155385126791
288.773	20.5534059329967	401.5	1274.67039106952	401.5	90.2184781189764
289.338	18.9986771126333	402	1155.24450956574	402	89.3214177252736
289.902	10.7630580864321	402.5	1019.98084078569	402.5	88.4243573315709
290.466	12.2829079839667	403	885.509135922011	403	87.5272969378682
291.03	24.5272874625041	403.5	771.867341092135	403.5	86.6302365441654
291.595	30.8269857460554	404	664.780229011442	404	85.7331761504627
292.159	28.8873865864941	404.5	554.732055703279	404.5	84.83611575676
292.724	17.4320369726804	405	457.91498389791	405	83.9390553630573
293.288	25.6565099028197	405.5	387.806730244905	405.5	83.0419949693545
293.853	20.8474729841945	406	329.169823737701	406	82.1449345756518
294.417	24.8231639075595	406.5	261.80962735934	406.5	81.2478741819491
294.982	19.2741116696216	407	205.067749741495	407	80.3508137882463
295.547	12.873031812353	407.5	169.886554852746	407.5	79.4537533945436
296.111	19.7239562028468	408	140.029110191335	408	78.5566930008409
296.676	19.869037456567	408.5	116.596569881673	408.5	77.6596326071382
297.241	20.3460333062531	409	108.763954933962	409	76.7625722134354
297.806	22.5558120418638	409.5	78.9036491792434	409.5	75.8655118197327
298.371	17.9603605052961	410	74.9969368658351	410	74.96845142603
298.936	32.2163023339387	410.5	62.5450336463785	410.5	74.0713910323273
299.501	27.0043279429323	411	50.4902362255453	411	73.1743306386245
300.067	22.3080321893215	411.5	43.9826707730384	411.5	72.2772702449218
300.632	17.1538169555513	412	38.0841166187938	412	71.3802098512191
301.197	11.6004792734544	412.5	46.6279893889641	412.5	70.4831494575163
301.763	33.11705810576	413	36.0596655326222	413	69.5860890638136
302.328	25.2857003281512	413.5	26.8436499851074	413.5	68.6890286701109
302.893	14.92437906802	414	24.337135887663	414	67.7919682764081
303.459	18.4055099389643	414.5	24.4666066194995	414.5	66.8949078827054
304.025	36.1082746351011	415	25.3708626660297	415	65.9978474890027
304.59	15.655075522285	415.5	20.2595599494988	415.5	65.1007870953
305.156	29.0567674442746	416	12.8802793196769	416	64.2037267015972
305.722	34.4243935348591	416.5	15.3089141394321	416.5	63.3066663078945
306.287	41.177688403682	417	8.8096069338879	417	62.4096059141918
306.853	38.7241512744406	417.5	7.97954859563594	417.5	61.5125455204891
307.419	55.5138540034889	418	14.6227128329707	418	60.6154851267863
307.985	56.1576375075873	418.5	13.3713801471378	418.5	59.7184247330836
308.551	63.9687519854986	419	5.83364062617884	419	58.8213643393809
309.117	76.8139621827594	419.5	7.74793173171022	419.5	57.9243039456781
309.683	76.0956235670662	420	13.8279261553523	420	57.0272435519754
310.25	81.4926377351272	420.5	8.6123039622527	420.5	56.1301831582727
310.816	92.7408920349878	421	14.3009620511095	421	55.23312276457
311.382	106.011778521977	421.5	8.62579708366738	421.5	54.3360623708672
311.949	122.126244007816	422	8.52288786160564	422	53.4390019771645
312.515	118.037675467746	422.5	10.5730899700396	422.5	52.5419415834618
313.081	141.035848264955	423	8.17449952356884	423	51.644881189759
313.648	151.389710117479	423.5	12.7197529812228	423.5	50.7478207960563
314.215	167.768662575953	424	16.5026226986355	424	49.8507604023536
314.781	184.863546038561	424.5	6.98646063128966	424.5	48.9537000086509
315.348	187.507142197028	425	7.85013602226986	425	48.0566396149481
315.915	213.774544562808	425.5	8.14638990128869	425.5	47.1595792212454
316.481	223.330749815131	426	3.62906730090305	426	46.2625188275427
317.048	240.829753466895	426.5	4.49063109758424	426.5	45.3654584338399
317.615	257.719344202422	427	7.05441805444752	427	44.4683980401372
318.182	270.093854505676	427.5	5.86360565858333	427.5	43.5713376464345
318.749	287.177649552718	428	11.1992573689295	428	42.6742772527318
319.316	302.910668300333	428.5	5.65972891736986	428.5	41.777216859029
319.883	318.621116447307	429	-2.26142226950262	429	40.8801564653263
320.451	310.37328198282	429.5	-0.133193353513918	429.5	39.9830960716236
321.018	328.246085451152	430	7.04240705634203	430	39.0860356779208
321.585	335.217697022895	430.5	5.02660335653536	430.5	38.1889752842181
322.153	342.607675657167	431	1.21735554888814	431	37.2919148905154
322.72	347.833877921417	431.5	6.60560025837862	431.5	36.3948544968127
323.287	340.691550548837	432	-1.61028088039641	432	35.4977941031099
323.855	359.154534979083	432.5	6.14262114999438	432.5	34.6007337094072
324.423	352.600754917381	433	5.34322430148914	433	33.7036733157045
324.99	350.762418664738	433.5	2.21192215462074	433.5	32.8066129220017
325.558	352.01465261711	434	9.22103672860302	434	31.909552528299
326.126	353.651393126151	434.5	9.36866749148083	434.5	31.0124921345963
326.693	367.766362160828	435	-1.08840651838254	435	30.1154317408936
327.261	352.02473295504	435.5	2.92318393500454	435.5	29.2183713471909
327.829	340.632754065723	436	5.31217421183807	436	28.3213109534881
328.397	361.78260324584	436.5	4.85609475536475	436.5	27.4242505597854
328.965	351.395122869633	437	1.70754509550188	437	26.5271901660826
329.533	337.149305516861	437.5	3.53408300304859	437.5	25.6301297723799
330.101	337.995614113855	438	2.72114959150445	438	24.7330693786772
330.669	335.134681923237	438.5	-1.12070009650807	438.5	23.8360089849745
331.238	322.996504727825	439	8.34524044997802	439	22.9389485912717
331.806	324.037561332929	439.5	7.34255392031766	439.5	22.041888197569
332.374	323.221580224166	440	6.59001993542529	440	21.1448278038663
332.943	311.79616115441	440.5	2.68421566322568	440.5	20.2477674101635
333.511	307.635609654364	441	-0.965763228147553	441	19.3507070164608
334.08	291.51725683166	441.5	-1.39936845116849	441.5	18.4536466227581
334.648	285.140083405981	442	0.731460248446601	442	17.5565862290554
335.217	269.281244061509	442.5	3.40446113298934	442.5	16.6595258353526
335.785	263.629680451919	443	1.26639446264323	443	15.7624654416499
336.354	241.643567002402	443.5	3.96229256083263	443.5	14.8654050479472
336.923	247.625567452433	444	2.45745680872584	444	13.9683446542444
337.492	243.1044934909	444.5	0.927711686867401	444.5	13.0712842605417
338.061	239.239888694219	445	2.95860906898108	445	12.174223866839
338.629	229.09357748202	445.5	5.34933877395146	445.5	11.2771634731363
339.198	255.063288018536	446	6.18028346561081	446	10.3801030794335
339.767	280.360778605623	446.5	7.07556176902048	446.5	9.48304268573082
340.337	316.23209326562	447	9.8876965600755	447	8.58598229202809
340.906	386.701744607006	447.5	7.11766521733618	447.5	7.68892189832536
341.475	533.152708399261	448	6.79186150462264	448	6.79186150462263
342.044	758.65121871465	448.5	5.01628622091888	448.5	5.89480111091991
342.613	1151.08084161347	449	8.05111290964526	449	4.99774071721718
343.183	1724.07830897199	449.5	9.45289565317083	449.5	4.10068032351446
343.752	2489.69626473602	450	-2.49095350700071	450	3.20361992981173
344.322	3503.50505171322				
344.891	4745.2211567075				
345.461	6179.61521186941				
346.03	7806.70890965874				
346.6	7806.43768471719				
347.17	7806.94539092928				
347.739	7762.99153442528				
348.309	7815.22680386897				
348.879	7799.07807870639				
349.449	7750.78280191954				
350.019	7873.0455871148				
350.589	7785.25019935529				
351.159	7839.6703665158				
351.729	7835.71147307257				
352.299	7862.86567523934				
352.87	7946.53514518009				
353.44	7884.15026902899				
354.01	7351.56041503949				
354.581	5719.13998079697				
355.151	4298.26077119204				
355.722	3075.08608749553				
356.292	2086.76803209262				
356.863	1375.49873070513				
357.434	870.135021167281				
358.004	572.262524150651				
358.575	394.172830623147				
359.146	287.061996958155				
359.717	237.515788934326				
360.288	198.129852893036				
360.859	190.377239145045				
361.43	178.120255528182				
362.001	181.361601206736				
362.572	158.124914772757				
363.143	157.999287505338				
363.714	157.56549887661				
364.286	151.281184122742				
364.857	149.152764433803				
365.428	137.636807017731				
366	129.434801920178				
366.571	139.512903482481				
367.143	142.145662585479				
367.714	128.455621710311				
368.286	135.847694148401				
368.858	148.237683924963				
369.43	134.127846769938				
370.001	141.520416270147				
370.573	142.175504486565				
371.145	145.740533213702				
371.717	144.232386289759				
372.289	143.585003467802				
372.861	142.762777672217				
373.433	134.461324865509				
374.005	135.413178454513				
374.578	122.090995924513				
375.15	129.015824856606				
375.722	122.601084814855				
376.295	118.983972004591				
376.867	119.760373240459				
377.439	109.302823989098				
378.012	114.404913749475				
378.584	116.362596072865				
379.157	108.356181257438				
379.73	103.145109843014				
380.302	99.5914927892129				
380.875	101.214486629458				
381.448	88.3857031832601				
382.021	90.9165279881347				
382.594	105.805326247325				
383.167	94.7381935637615				
383.74	103.516861052125				
384.313	99.0799886399351				
384.886	122.099959268787				
385.459	143.65326125193				
386.032	171.50108843907				
386.606	210.924357448473				
387.179	264.394171518337				
387.752	323.267642311965				
388.326	400.854490642591				
388.899	493.363768284021				
389.473	601.446384995636				
390.046	724.803833719357				
390.62	865.392032012382				
391.194	1014.004494432				
391.767	1163.69397055406				
392.341	1302.20417111778				
392.915	1487.04736352558				
393.489	1612.01805658317				
394.063	1761.29947973541				
394.637	1872.92792625112				
395.211	1953.14409866515				
395.785	2021.81624849642				
396.359	2063.28808370017				
396.933	2087.27938455685				
397.507	2069.76032232294				
398.082	2015.27634672848				
398.656	1915.86355368669				
399.23	1831.69291762665				
399.805	1694.05161893735				
400.379	1563.29950353374				
400.954	1426.94239225907				
401.528	1267.39130104978				
