"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 02:12:57 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"MQ Blank - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
430,53.883,32.759,23.769,18.722,13.651,10.514,11.228,7.061,6.924,4.899,5.620,4.706,5.353,3.289,2.683,2.559,1.669,2.209,1.146,1.257,1.229,1.338,0.917,0.869,1.022,1.130,2.329,8.698,64.450,115.077,53.426,6.561,2.135,3.071,5.735,4.626,2.799,3.982,18.001,245.773,493.964,189.311,9.722,0.874,0.694,0.591,0.828,0.752,0.688,0.710,0.699,0.599,0.721,0.657,0.642,
435,37.464,35.846,24.369,19.115,13.562,13.229,11.115,9.570,5.448,6.444,6.074,4.813,5.736,3.775,3.357,1.850,1.607,1.677,1.283,1.301,1.306,1.217,0.919,0.810,0.655,0.829,0.916,2.478,14.718,76.214,100.236,33.254,4.174,2.157,3.519,5.828,4.061,2.778,3.776,17.280,219.862,441.540,177.862,10.620,0.847,0.779,0.743,0.669,0.756,0.686,0.736,0.586,0.653,0.515,0.546,
440,39.654,43.584,30.518,19.304,13.330,15.555,12.717,9.077,6.919,7.032,6.801,5.047,5.564,3.861,1.989,1.997,2.080,1.597,1.016,0.751,1.038,0.945,1.012,0.894,0.640,0.947,1.046,1.307,3.391,22.048,83.614,78.196,20.654,2.426,1.666,3.892,5.807,3.831,2.669,3.870,16.498,204.090,406.308,163.051,9.567,0.939,0.910,0.697,0.625,0.726,0.760,0.623,0.598,0.636,0.551,
445,58.321,39.864,25.668,16.692,13.497,18.109,13.202,12.473,7.053,6.771,5.806,6.980,5.156,4.205,2.382,1.817,1.137,1.098,0.857,0.947,0.926,0.621,0.778,0.942,0.836,0.829,0.709,1.115,1.609,4.313,29.740,85.973,61.370,11.677,1.894,1.939,3.697,5.658,3.294,2.529,3.632,13.100,174.110,373.719,152.034,9.471,0.988,0.809,0.660,0.678,0.716,0.716,0.701,0.626,0.555,
450,265.494,36.585,28.744,22.680,16.347,18.893,14.800,11.580,8.934,5.962,5.141,5.135,4.964,3.657,1.397,1.993,1.032,0.736,0.670,0.879,0.856,0.832,0.929,1.063,0.305,0.753,0.946,0.899,1.153,1.876,5.816,41.693,82.394,41.961,5.862,1.493,2.138,4.131,5.177,2.910,2.535,3.469,12.347,159.423,346.640,154.489,10.177,0.983,0.743,0.730,0.714,0.648,0.755,0.554,0.614,
455,881.198,53.453,33.874,24.200,19.538,20.147,15.585,13.773,10.566,7.108,5.237,6.205,6.162,3.571,2.405,1.438,1.227,0.966,0.563,1.101,0.813,0.901,0.571,1.104,0.534,0.599,0.610,0.789,0.859,1.098,2.073,10.211,52.046,69.798,24.764,3.302,1.487,2.081,4.405,4.957,2.489,2.268,3.267,12.932,155.765,320.272,170.230,8.650,0.887,0.788,0.749,0.723,0.559,0.624,0.695,
460,1637.334,263.725,27.969,22.933,20.526,22.417,19.928,14.178,10.205,7.820,6.342,6.668,6.056,4.099,2.534,1.142,0.948,0.942,1.102,1.056,0.294,0.695,0.970,0.801,0.668,0.516,0.545,0.701,0.986,0.780,1.259,2.814,14.395,56.714,54.671,15.449,2.019,1.442,2.246,4.583,4.628,2.199,2.070,3.101,9.936,137.456,430.351,140.950,6.091,0.850,0.745,0.547,0.731,0.618,0.577,
465,1515.150,872.536,58.436,24.592,23.255,23.542,20.771,15.647,10.187,7.014,5.997,6.529,5.293,3.719,2.029,1.207,1.031,1.063,0.716,0.764,0.669,0.862,0.673,0.954,0.733,0.771,0.722,0.606,0.885,0.733,0.957,1.435,2.876,20.373,56.682,40.473,8.723,1.432,1.478,2.256,4.705,4.021,2.047,2.196,2.859,9.435,160.553,289.720,111.818,8.394,0.773,0.688,0.773,0.613,0.681,
470,778.086,1510.458,288.513,26.115,23.004,24.535,21.197,15.504,11.010,7.109,6.520,7.461,6.091,3.672,1.312,1.099,1.082,1.090,0.814,0.652,0.702,0.622,0.512,0.547,0.430,0.698,0.798,0.400,0.530,0.712,0.691,1.096,1.456,4.465,28.917,52.878,26.455,4.678,1.162,1.699,2.533,4.949,3.501,1.878,2.042,2.748,10.185,131.235,257.108,110.852,6.517,0.894,0.674,0.635,0.581,
475,156.251,1467.323,915.373,54.645,25.143,25.490,21.227,16.085,10.589,7.533,6.494,6.929,5.669,4.083,2.210,1.765,0.690,0.713,0.625,0.601,0.490,0.526,0.474,0.525,0.540,0.658,0.777,0.493,0.608,0.653,0.638,0.670,1.005,1.864,7.022,33.611,44.236,18.372,2.915,1.165,1.554,2.746,5.254,3.378,1.683,1.866,2.690,8.904,107.713,242.304,99.712,5.654,0.889,0.742,0.754,
480,54.582,708.019,1511.253,278.770,25.079,24.883,19.240,15.862,10.255,7.580,5.954,6.662,5.517,3.805,1.902,1.406,0.886,0.609,0.676,0.603,0.800,0.360,0.734,0.577,0.613,0.552,0.788,0.580,0.789,0.747,0.656,0.679,0.688,0.955,1.875,10.244,37.306,35.653,11.085,1.830,1.031,1.382,3.205,5.375,2.895,1.617,1.964,2.552,7.710,96.251,223.877,95.706,5.818,0.768,0.743,
485,77.143,168.319,1315.356,842.276,48.780,26.525,20.546,14.762,10.253,6.549,5.377,6.461,5.927,3.343,2.020,0.986,0.745,0.395,0.455,0.614,0.298,0.491,0.753,0.404,0.579,0.508,0.918,0.801,0.769,0.568,0.751,0.602,0.633,0.762,1.128,2.676,15.306,38.025,26.252,6.139,1.088,1.131,1.550,3.939,4.965,2.537,1.654,1.978,2.341,7.958,106.220,216.438,87.545,4.847,0.892,
490,155.919,52.893,597.811,1407.369,273.861,23.337,22.735,16.702,11.024,6.547,5.379,5.781,5.818,3.319,1.556,0.921,0.619,0.412,0.414,0.576,0.147,0.396,0.685,0.898,0.489,0.604,0.803,0.617,0.876,0.717,0.602,0.609,0.498,0.661,0.645,1.239,3.696,19.943,35.283,17.986,3.253,1.066,1.026,1.630,4.326,4.978,2.174,1.577,1.697,2.371,7.635,91.110,203.377,83.042,5.181,
495,271.970,54.197,120.069,1241.101,840.286,60.544,18.781,15.434,9.166,6.680,5.508,4.815,5.044,3.261,1.299,1.092,0.479,0.609,0.402,0.331,0.372,0.351,0.668,0.642,0.690,0.436,0.550,0.752,0.646,0.662,0.577,0.692,0.591,0.725,0.485,0.837,1.511,5.384,23.195,30.019,12.017,2.083,0.871,1.176,1.833,4.644,4.676,1.783,1.503,1.745,2.066,6.663,90.914,191.439,84.574,
500,376.751,102.248,38.449,583.315,1345.532,336.428,18.580,14.498,8.286,6.160,4.721,4.623,4.281,2.733,1.218,1.008,0.274,0.203,0.436,0.504,0.430,0.385,0.356,0.656,0.635,0.516,0.569,0.394,0.789,0.566,0.542,0.610,0.489,0.651,0.687,0.548,1.037,1.905,8.220,26.532,23.478,7.030,1.234,0.813,1.094,2.281,5.366,3.882,1.530,1.381,1.597,1.930,7.363,82.189,191.731,
505,312.569,209.200,39.615,120.975,1166.072,1003.440,41.470,12.482,9.794,5.685,4.366,5.099,4.263,2.316,1.244,0.410,0.587,0.331,0.197,0.564,0.261,0.373,0.575,0.467,0.442,0.383,0.786,0.571,0.680,0.704,0.828,0.571,0.665,0.645,0.538,0.571,0.621,1.174,2.182,12.053,26.053,16.847,4.053,0.999,0.900,1.246,2.741,5.118,3.339,1.436,1.224,1.551,1.879,6.307,85.939,
510,178.305,317.087,74.305,33.503,515.022,1609.257,302.467,9.647,7.482,4.725,4.452,4.370,3.806,2.635,1.099,0.311,0.298,0.830,0.466,0.195,0.448,0.538,0.551,0.263,0.476,0.363,0.589,0.617,0.541,0.736,0.655,0.519,0.678,0.513,0.506,0.461,0.607,0.701,1.261,3.109,14.586,23.529,11.641,2.633,0.830,0.938,1.244,2.868,5.076,3.108,1.246,1.176,1.555,1.751,5.499,
515,53.440,303.071,162.579,27.314,101.540,1356.511,923.689,40.275,7.228,3.555,3.026,3.578,3.731,2.050,1.218,0.190,0.330,0.283,0.436,0.299,0.326,0.339,0.638,0.588,0.689,0.379,0.574,0.482,0.525,0.711,0.590,0.649,0.622,0.553,0.380,0.519,0.610,0.706,0.934,1.419,4.811,17.200,19.812,7.470,1.480,0.808,0.956,1.267,3.378,5.551,2.757,1.149,1.218,1.323,1.741,
520,17.462,205.383,260.057,43.497,26.204,603.058,1543.919,283.083,7.174,3.795,3.352,3.185,2.186,2.356,1.035,0.529,0.451,0.470,0.195,0.363,0.431,0.428,0.313,0.902,0.580,0.557,0.494,0.444,0.582,0.639,0.575,0.740,0.711,0.801,0.427,0.539,0.555,0.678,0.806,1.011,1.466,7.028,19.218,15.256,4.518,1.181,0.811,0.980,1.438,4.181,5.729,2.211,1.156,1.073,1.413,
525,16.876,85.277,278.379,108.402,19.000,102.722,1350.333,891.321,37.058,3.600,2.687,2.804,2.535,1.895,0.783,-0.085,0.185,0.606,0.183,0.643,0.408,0.362,0.756,0.511,0.426,0.423,0.452,0.723,0.594,0.634,0.482,0.462,0.353,0.491,0.294,0.424,0.541,0.669,0.697,0.708,1.131,2.087,9.022,17.454,10.608,2.847,0.793,0.772,0.963,1.475,4.872,5.057,1.918,1.048,0.954,
530,11.812,26.614,202.091,199.533,33.462,23.352,623.323,1416.941,284.352,3.218,3.291,2.188,2.624,1.327,0.231,0.421,0.428,0.673,0.279,0.553,0.193,0.321,0.534,0.464,0.572,0.467,0.644,0.523,0.588,0.478,0.629,0.642,0.512,0.601,0.368,0.536,0.537,0.621,0.595,0.499,0.621,1.109,2.676,11.281,15.475,7.368,1.824,0.709,0.829,0.737,1.922,5.505,4.699,1.574,1.000,
535,5.687,10.005,95.369,253.960,72.756,18.760,121.894,1215.618,827.786,23.682,2.572,2.191,1.612,1.475,0.954,0.635,0.009,0.096,0.364,0.165,0.424,0.358,0.412,0.533,0.541,0.221,0.466,0.336,0.831,0.559,0.445,0.400,0.589,0.703,0.388,0.307,0.538,0.509,0.620,0.541,0.677,0.814,1.175,4.360,13.185,12.692,4.504,1.146,0.715,0.723,0.854,2.572,6.194,3.978,1.209,
540,10.373,9.675,26.553,223.088,153.982,23.041,21.126,530.173,1302.250,214.089,3.409,2.537,1.752,1.391,0.683,0.409,0.166,0.727,0.281,0.086,0.485,0.632,0.247,0.598,0.471,0.383,0.514,0.436,0.807,0.587,0.559,0.546,0.724,0.523,0.538,0.455,0.661,0.623,0.515,0.601,0.625,0.818,0.900,1.435,6.162,12.604,9.209,2.811,0.925,0.641,0.683,0.859,3.085,6.031,3.609,
545,18.238,9.502,11.536,121.019,223.183,57.980,15.753,90.267,1071.948,687.392,28.765,2.268,2.636,1.177,0.468,0.066,-0.037,0.251,0.492,0.377,0.570,0.328,0.437,0.375,0.260,0.410,0.550,0.494,0.749,0.649,0.646,0.319,0.465,0.674,0.481,0.429,0.545,0.683,0.715,0.530,0.635,0.832,0.738,1.022,2.078,7.807,11.866,6.535,1.913,0.699,0.600,0.602,1.125,3.594,6.365,
550,27.363,13.117,7.735,45.200,216.815,136.462,17.070,15.545,469.246,1097.704,215.077,1.480,1.791,1.106,0.755,0.455,-0.517,0.372,0.338,0.306,0.200,0.347,0.607,0.460,0.381,0.503,0.453,0.553,0.661,0.455,0.361,0.616,0.734,0.499,0.432,0.445,0.505,0.632,0.485,0.593,0.371,0.681,0.750,0.841,1.068,3.033,9.517,10.097,4.293,1.330,0.616,0.677,0.754,1.315,4.635,
555,35.023,13.660,5.655,9.553,147.753,227.208,30.764,13.854,79.125,952.436,650.695,22.886,1.378,0.856,0.426,-0.226,0.261,0.410,0.393,0.492,0.117,0.204,0.463,0.674,0.358,0.613,0.604,0.574,0.519,0.392,0.619,0.691,0.699,0.752,0.502,0.630,0.519,0.629,0.526,0.707,0.615,0.784,0.741,0.899,0.954,1.264,4.383,9.718,7.829,3.033,0.897,0.488,0.694,0.681,1.583,
560,44.863,17.085,1.641,7.280,63.779,255.249,81.654,10.461,14.977,425.911,1008.050,209.395,1.133,0.264,0.279,-0.309,0.254,0.241,0.522,0.586,0.634,0.379,0.220,0.298,0.437,0.453,0.330,0.644,0.529,0.465,0.655,0.504,0.485,0.775,0.580,0.514,0.473,0.561,0.652,0.624,0.722,0.783,0.667,0.784,0.802,1.088,1.694,5.734,9.097,5.954,1.695,0.627,0.594,0.653,0.911,
565,45.608,16.432,7.703,4.149,17.573,186.894,163.955,18.854,10.620,76.903,832.074,613.137,20.969,0.961,0.011,-0.122,-0.013,0.218,0.188,0.580,0.531,0.316,0.383,0.531,0.463,0.309,0.452,0.428,0.581,0.394,0.483,0.629,0.553,0.631,0.583,0.474,0.523,0.806,0.615,0.696,0.630,0.672,0.747,0.844,0.838,1.058,1.215,2.269,6.253,8.160,3.957,1.178,0.540,0.649,0.687,
570,52.750,19.546,3.850,3.446,4.611,94.262,221.601,54.085,8.244,12.038,337.207,933.858,181.898,0.944,-0.022,0.153,0.142,0.425,0.265,0.207,0.605,0.312,0.530,0.504,0.409,0.230,0.390,0.544,0.672,0.574,0.539,0.714,0.542,0.810,0.576,0.551,0.549,0.608,0.692,0.674,0.571,0.693,0.768,0.901,0.818,0.943,1.052,1.212,2.759,6.841,6.355,2.660,0.747,0.503,0.507,
575,51.644,17.063,2.593,2.028,4.936,26.198,208.619,115.691,10.592,7.919,55.269,751.617,551.108,25.699,-0.182,0.185,-0.278,0.211,0.469,0.050,0.768,0.462,0.388,0.415,0.390,0.217,0.456,0.595,0.596,0.569,0.707,0.899,0.646,0.705,0.474,0.449,0.516,0.629,0.723,0.647,0.724,0.692,0.798,0.597,0.913,0.907,0.919,1.009,1.112,3.533,6.911,4.911,1.716,0.701,0.569,
580,40.122,13.722,4.618,2.371,1.988,5.420,121.854,174.040,30.848,6.487,9.338,306.481,850.228,201.324,0.935,-0.220,-0.015,0.715,0.389,0.226,0.346,0.410,0.433,0.302,0.590,0.461,0.601,0.553,0.598,0.478,0.884,0.898,0.976,0.682,0.551,0.376,0.433,0.628,0.607,0.566,0.626,0.670,0.687,0.810,0.704,0.770,0.926,0.857,0.775,1.230,4.510,6.220,3.343,1.085,0.465,
585,35.373,8.633,-0.853,3.159,1.958,3.866,45.556,184.422,78.182,5.692,6.661,49.857,696.017,538.034,20.937,0.056,-0.183,0.523,0.334,0.151,0.425,0.036,0.463,0.684,0.419,0.441,0.578,0.612,0.456,0.672,0.612,0.796,1.335,0.985,0.608,0.560,0.618,0.521,0.603,0.688,0.601,0.735,0.708,0.771,0.733,0.710,0.770,0.750,0.778,0.701,1.983,5.017,5.112,2.438,0.765,
590,30.184,13.308,0.082,-0.166,-0.523,1.064,11.914,126.536,131.219,13.385,4.637,7.258,301.902,753.142,151.252,0.641,0.215,0.388,0.350,0.359,0.291,0.189,0.573,0.213,0.345,0.190,0.447,0.470,0.511,0.664,0.534,0.659,1.244,1.611,0.599,0.478,0.525,0.527,0.663,0.495,0.609,0.676,0.625,0.678,0.755,0.709,0.904,0.702,0.744,0.726,0.859,2.611,5.276,4.135,1.633,
595,29.809,8.923,2.797,-0.587,-0.072,0.408,3.889,56.385,159.821,39.777,4.611,5.453,50.018,581.743,432.672,17.261,0.392,0.415,0.451,0.498,0.363,0.333,0.324,0.393,0.442,0.192,0.440,0.425,0.482,0.525,0.498,0.328,0.630,1.449,1.110,0.510,0.492,0.571,0.489,0.551,0.509,0.644,0.782,0.585,0.657,0.699,0.852,0.655,0.608,0.615,0.575,1.113,3.385,4.619,3.006,
600,20.990,9.096,0.854,-0.102,2.134,0.961,2.333,15.437,127.992,83.453,7.486,4.956,7.341,226.640,630.724,142.777,1.299,0.193,0.204,0.126,0.373,0.233,0.250,0.271,0.611,0.233,0.242,0.376,0.603,0.619,0.506,0.630,0.573,0.943,1.464,0.822,0.525,0.607,0.681,0.650,0.646,0.526,0.502,0.603,0.615,0.675,0.701,0.567,0.588,0.549,0.630,0.585,1.486,3.652,4.087,
605,16.303,5.553,-1.295,2.132,0.994,-0.153,0.233,4.501,70.078,118.555,24.543,3.797,5.604,33.725,497.122,384.075,17.706,0.210,0.631,0.093,0.238,0.029,0.171,0.230,0.425,0.206,0.470,0.206,0.609,0.576,0.518,0.425,0.643,0.613,1.283,1.607,0.626,0.410,0.633,0.650,0.494,0.600,0.641,0.576,0.596,0.796,0.748,0.640,0.451,0.537,0.499,0.641,0.748,2.013,3.819,
610,15.220,4.153,-3.687,1.609,-0.655,0.235,0.524,1.679,26.753,119.461,57.479,4.452,4.597,6.063,207.500,544.946,115.872,0.796,0.262,0.322,0.453,0.165,0.516,0.542,0.452,0.206,0.384,0.318,0.823,0.698,0.500,0.606,0.458,0.586,0.690,1.472,1.221,0.638,0.606,0.538,0.515,0.558,0.647,0.638,0.564,0.732,0.566,0.598,0.598,0.635,0.534,0.516,0.554,0.966,2.439,
615,12.986,3.541,2.079,2.498,3.038,-0.726,-0.593,0.847,5.930,81.509,95.383,13.829,4.078,3.739,32.889,437.776,319.233,12.264,0.133,-0.129,0.318,-0.112,0.391,0.192,0.577,0.401,0.453,0.287,0.573,0.570,0.572,0.576,0.633,0.648,0.358,0.832,1.729,1.025,0.738,0.520,0.370,0.448,0.583,0.507,0.650,0.717,0.612,0.655,0.592,0.478,0.528,0.461,0.585,0.656,1.003,
620,12.072,7.056,3.048,6.213,2.905,0.572,-0.266,0.955,2.379,36.008,107.667,38.433,5.282,4.196,5.283,163.832,449.129,91.732,0.556,0.006,0.586,0.003,0.443,0.334,0.429,0.305,0.461,0.382,0.577,0.564,0.529,0.688,0.558,0.630,0.304,0.540,1.293,1.799,0.744,0.449,0.560,0.530,0.652,0.652,0.655,0.542,0.637,0.622,0.522,0.623,0.486,0.546,0.494,0.586,0.720,
625,11.647,6.750,9.390,6.600,4.703,3.430,1.084,1.942,1.994,12.090,83.582,71.871,9.984,3.459,3.229,26.531,343.063,247.820,10.890,0.017,0.407,0.114,0.261,0.594,0.445,0.125,0.547,0.436,0.821,0.478,0.534,0.530,0.714,0.719,0.540,0.593,0.532,1.704,1.452,0.679,0.546,0.482,0.670,0.592,0.519,0.651,0.629,0.634,0.639,0.558,0.530,0.483,0.518,0.517,0.546,
630,10.406,5.664,6.513,7.862,2.988,5.176,3.707,0.751,1.572,5.154,46.646,94.330,23.542,3.717,2.834,3.845,138.280,364.041,76.684,0.643,0.401,0.325,0.347,0.225,0.496,0.469,0.613,0.505,0.464,0.340,0.669,0.521,0.625,0.711,0.446,0.384,0.603,0.794,1.678,0.955,0.533,0.517,0.640,0.450,0.695,0.586,0.668,0.581,0.632,0.558,0.528,0.569,0.379,0.597,0.475,
635,10.895,7.387,10.333,8.309,6.423,4.278,2.093,0.928,1.675,3.751,17.906,85.220,50.875,5.379,2.931,2.693,19.716,284.809,216.515,10.771,0.404,0.461,0.460,0.272,0.459,0.506,0.462,0.684,0.679,0.422,0.471,0.622,0.412,0.964,0.681,0.205,0.572,0.658,1.294,1.571,0.767,0.571,0.711,0.515,0.676,0.706,0.616,0.586,0.585,0.612,0.461,0.535,0.529,0.443,0.518,
640,30.476,12.094,7.291,9.136,8.863,5.587,4.309,3.510,3.992,5.978,8.124,55.592,77.150,14.051,2.726,2.712,3.142,114.875,304.879,74.653,0.594,0.580,0.695,0.199,0.305,0.310,0.418,0.288,0.546,0.510,0.638,0.466,0.530,0.628,0.571,0.373,0.518,0.605,0.614,1.470,1.455,0.617,0.566,0.546,0.600,0.816,0.657,0.662,0.583,0.475,0.600,0.513,0.537,0.575,0.444,
645,49.070,20.818,14.641,12.261,10.143,8.497,6.391,5.535,4.790,6.841,8.462,29.328,83.337,33.676,2.660,2.364,2.904,19.717,236.219,192.212,8.091,0.428,0.407,0.287,0.445,0.593,0.722,0.322,0.656,0.638,0.535,0.460,0.580,0.555,0.734,0.740,0.543,0.641,0.493,1.011,1.881,1.083,0.720,0.722,0.807,0.869,0.835,0.686,0.735,0.557,0.447,0.593,0.489,0.486,0.569,
650,62.355,24.921,15.382,11.169,11.609,7.894,5.342,5.472,6.632,7.105,10.456,15.148,66.757,58.442,7.305,2.056,1.817,3.253,99.588,266.527,55.171,0.777,0.188,0.282,0.568,0.331,0.431,0.557,0.735,0.549,0.517,0.519,0.543,0.663,0.624,0.676,0.692,0.768,0.608,0.635,1.332,1.679,0.880,0.652,0.776,0.945,0.842,0.733,0.653,0.620,0.709,0.615,0.607,0.494,0.422,
655,72.322,28.281,18.037,12.849,8.289,8.624,7.447,5.507,6.091,7.959,7.872,10.625,39.178,70.450,19.303,2.210,2.332,2.478,16.098,201.553,151.598,7.642,0.438,0.212,0.412,0.312,0.438,0.437,0.510,0.640,0.517,0.482,0.557,0.669,0.435,0.752,0.712,0.684,0.628,0.562,0.748,1.721,1.565,0.887,0.855,0.991,0.847,0.738,0.743,0.654,0.653,0.722,0.508,0.624,0.536,
660,66.355,30.969,17.217,12.025,9.536,9.415,7.215,4.449,6.820,7.282,9.468,9.392,18.827,64.131,38.798,4.311,1.877,2.037,3.361,80.523,220.056,50.115,0.932,0.434,0.523,0.560,0.441,0.622,0.573,0.642,0.475,0.595,0.456,0.308,0.379,0.666,0.894,0.845,0.418,0.511,0.598,1.005,1.936,1.262,0.729,0.976,0.944,0.820,0.674,0.631,0.520,0.627,0.742,0.594,0.621,
665,76.134,34.095,17.662,15.751,10.831,9.356,7.671,6.089,7.526,8.698,9.297,9.911,10.418,41.634,55.595,10.209,2.150,2.270,2.768,14.620,175.944,130.401,6.889,0.028,0.557,0.443,0.381,0.470,0.590,0.485,0.623,0.511,0.428,0.474,0.375,0.407,0.720,0.929,0.699,0.508,0.654,0.675,1.316,1.941,1.083,0.795,0.772,0.741,0.614,0.676,0.616,0.627,0.607,0.602,0.725,
670,91.302,37.102,20.137,16.020,12.313,9.017,6.446,7.021,8.253,9.531,10.189,10.427,9.263,18.659,59.370,24.354,2.533,2.460,2.676,2.985,73.729,186.943,41.538,0.283,0.407,0.476,0.410,0.463,0.528,0.509,0.443,0.412,0.513,0.444,0.496,0.579,0.674,0.912,0.686,0.579,0.707,0.607,0.880,1.944,1.883,0.958,0.827,0.801,0.678,0.682,0.591,0.645,0.543,0.633,0.661,
675,102.667,38.531,21.501,13.243,10.821,10.995,9.555,5.384,8.662,9.357,9.820,9.948,7.891,9.505,45.776,40.034,6.037,2.228,1.987,2.483,13.637,150.075,110.655,5.287,0.440,0.143,0.509,0.462,0.700,0.444,0.591,0.362,0.304,0.495,0.455,0.212,0.451,0.708,0.787,0.567,0.575,0.649,0.844,1.273,2.244,1.527,0.829,0.764,0.745,0.698,0.670,0.575,0.716,0.443,0.605,
680,119.586,45.829,18.747,13.262,11.632,10.154,6.893,6.266,6.816,8.873,9.143,8.558,8.350,5.539,25.653,48.657,14.334,2.155,2.073,1.957,2.719,62.819,159.486,35.176,0.594,0.385,0.467,0.317,0.744,0.444,0.478,0.509,0.356,0.472,0.426,0.133,0.655,0.679,0.818,0.750,0.649,0.672,0.772,0.909,1.588,2.210,1.019,0.818,0.676,0.691,0.623,0.698,0.613,0.511,0.593,
685,140.940,47.562,18.776,12.392,9.318,8.870,6.028,5.202,6.102,8.426,8.084,9.039,6.171,4.388,10.227,43.426,28.334,3.332,2.002,1.890,2.177,11.355,126.173,94.274,5.611,0.140,0.446,0.561,0.541,0.625,0.565,0.294,0.465,0.549,0.465,0.424,0.583,0.690,0.859,0.743,0.530,0.704,0.696,0.687,0.938,2.151,1.641,0.978,0.644,0.721,0.582,0.555,0.593,0.498,0.584,
690,156.705,48.452,20.869,14.076,7.858,8.656,5.313,5.968,4.968,7.972,7.275,7.988,6.188,3.676,5.398,27.091,38.471,7.462,1.727,1.621,1.675,2.066,52.288,138.379,31.585,0.388,0.423,0.470,0.602,0.438,0.397,0.612,0.341,0.500,0.517,0.505,0.422,0.513,0.567,0.678,0.752,0.706,0.677,0.739,0.801,1.283,2.278,1.175,0.713,0.717,0.720,0.788,0.627,0.481,0.560,
695,144.507,58.245,22.797,9.303,6.430,6.957,4.958,5.015,3.800,6.000,5.935,7.252,6.115,4.375,3.115,13.201,38.938,15.987,1.915,1.399,1.624,1.381,9.813,108.103,81.735,4.064,0.612,0.530,0.659,0.368,0.369,0.434,0.580,0.489,0.216,0.509,0.460,0.553,0.677,0.482,0.820,0.633,0.736,0.726,0.832,0.774,1.596,1.861,0.826,0.655,0.638,0.722,0.524,0.450,0.549,
700,122.014,76.996,18.631,7.013,7.567,3.850,4.924,3.022,4.803,5.454,5.927,6.384,4.873,3.306,2.081,4.560,28.016,26.567,4.268,1.135,1.304,0.922,2.029,45.277,114.320,26.498,0.786,0.361,0.553,0.633,0.329,0.456,0.588,0.305,0.303,0.439,0.598,0.676,0.550,0.551,0.756,0.801,0.777,0.638,0.706,0.780,1.065,1.708,1.333,0.737,0.559,0.541,0.595,0.448,0.581,
